method,n,d_x,d_z,seed,status,time_sec,mem_mb,n_ci_tests,n_l0_calls,precision,recall_resolved,recall_overall,f1,accuracy,coverage,tp,fp,fn,tn,unresolved_frac,shd_full,shd_resolved,n_resolved,error_msg
ascend,256,5,10,101,ok,0.790999999999258,14203,145,,1,0.6,0.6,0.75,0.8,1,3,0,2,5,0,2,2,10,
ascend,256,5,10,102,ok,0.289000000000669,0,38,,1,0.666666666666667,0.666666666666667,0.8,0.9,1,2,0,1,7,0,1,1,10,
ascend,256,5,10,103,ok,0.43999999999869,58,105,,1,0.4,0.333333333333333,0.571428571428572,0.666666666666667,0.9,2,0,3,4,0.1,4,4,10,
ascend,256,5,10,104,ok,0.479999999999563,67,131,,0.8,0.8,0.8,0.8,0.8,1,4,1,1,4,0,2,2,10,
ascend,256,5,10,105,ok,0.591000000000349,52,187,,1,0.666666666666667,0.666666666666667,0.8,0.8,1,4,0,2,4,0,2,2,10,
cbl,256,5,10,101,ok,16.4519999999993,10750,42000,4000,0,0,0,,0.5,0.6,0,1,2,3,0.4,5,2,6,
cbl,256,5,10,102,ok,16.3539999999994,70,42000,4000,,0,0,,0.857142857142857,0.7,0,0,1,6,0.3,2,1,8,
cbl,256,5,10,103,ok,15.103000000001,153,42000,4000,,0,0,,0.444444444444444,0.9,0,0,5,4,0.1,4,4,10,
cbl,256,5,10,104,ok,15.4470000000001,401,42000,4000,,,0,,1,0.5,0,0,0,5,0.5,5,0,5,
cbl,256,5,10,105,ok,15.753999999999,393,42000,4000,,0,0,,0.5,0.6,0,0,3,3,0.4,5,2,6,
ascend,512,5,10,101,ok,0.674000000000888,0,211,,0.75,0.6,0.6,0.666666666666667,0.7,1,3,1,2,4,0,3,3,10,
ascend,512,5,10,102,ok,0.584000000000742,55,176,,1,0.666666666666667,0.666666666666667,0.8,0.9,1,2,0,1,7,0,1,1,10,
ascend,512,5,10,103,ok,0.591999999998734,61,178,,0.6,0.5,0.5,0.545454545454545,0.5,1,3,2,3,2,0,5,5,10,
ascend,512,5,10,104,ok,0.43199999999888,61,102,,1,1,1,1,1,1,5,0,0,5,0,0,0,10,
ascend,512,5,10,105,ok,0.524999999999636,61,148,,0.6,0.5,0.5,0.545454545454545,0.5,1,3,2,3,2,0,4,4,10,
cbl,512,5,10,101,ok,15.889000000001,407,42000,4000,0,0,0,,0.571428571428571,0.7,0,1,2,4,0.3,2,1,9,
cbl,512,5,10,102,ok,15.1790000000001,126,42000,4000,0,0,0,,0.75,0.8,0,1,1,6,0.2,2,1,9,
cbl,512,5,10,103,ok,16.0959999999996,393,42000,4000,1,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.6,1,0,2,3,0.4,3,1,7,
cbl,512,5,10,104,ok,18.2369999999992,393,46600,4400,,0,0,,0.5,0.8,0,0,4,4,0.2,0,0,9,
cbl,512,5,10,105,ok,16.0820000000003,78,42000,4000,,0,0,,0.666666666666667,0.6,0,0,2,4,0.4,5,2,7,
ascend,1024,5,10,101,ok,0.658999999999651,0,167,,0.666666666666667,0.4,0.4,0.5,0.6,1,2,1,3,4,0,3,3,10,
ascend,1024,5,10,102,ok,0.370999999999185,43,70,,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.8,1,2,1,1,6,0,1,1,10,
ascend,1024,5,10,103,ok,0.950000000000728,55,300,,1,1,1,1,1,0.9,6,0,0,3,0.1,1,1,10,
ascend,1024,5,10,104,ok,0.574000000000524,64,153,,1,0.8,0.8,0.888888888888889,0.9,1,4,0,1,5,0,1,1,10,
ascend,1024,5,10,105,ok,0.725999999998749,70,208,,0.75,1,1,0.857142857142857,0.8,1,6,2,0,2,0,2,2,10,
cbl,1024,5,10,101,ok,16.7899999999991,542,42000,4000,,0,0,,0.833333333333333,0.6,0,0,1,5,0.4,3,0,7,
cbl,1024,5,10,102,ok,15.4089999999997,102,42000,4000,,0,0,,0.777777777777778,0.9,0,0,2,7,0.1,1,0,9,
cbl,1024,5,10,103,ok,19.0490000000009,417,47000,4400,,0,0,,0.375,0.8,0,0,5,3,0.2,2,1,9,
cbl,1024,5,10,104,ok,18.7349999999988,417,46600,4400,0,0,0,,0.5,0.8,0,1,3,4,0.2,2,1,9,
cbl,1024,5,10,105,ok,18.3979999999992,417,42000,4000,0,0,0,,0.2,0.5,0,1,3,1,0.5,6,4,7,
ascend,1024,5,20,101,ok,0.341999999998734,0,42,,1,0.2,0.2,0.333333333333333,0.6,1,1,0,4,5,0,4,4,10,
ascend,1024,5,20,102,ok,0.675000000001091,49,171,,1,0.25,0.2,0.4,0.666666666666667,0.9,1,0,3,5,0.1,4,4,10,
ascend,1024,5,20,103,ok,0.628000000000611,67,142,,,0,0,,0.2,1,0,0,8,2,0,8,8,10,
ascend,1024,5,20,104,ok,0.341000000000349,55,38,,1,0.333333333333333,0.333333333333333,0.5,0.8,1,1,0,2,7,0,2,2,10,
ascend,1024,5,20,105,ok,0.423000000000684,58,74,,1,1,1,1,1,1,3,0,0,7,0,0,0,10,
cbl,1024,5,20,101,ok,21.4720000000016,244,82000,4000,,0,0,,0.714285714285714,0.7,0,0,2,5,0.3,5,2,7,
cbl,1024,5,20,102,ok,20.0390000000007,94,82000,4000,,0,0,,0.5,1,0,0,5,5,0,4,4,10,
cbl,1024,5,20,103,ok,19.8319999999985,70,82000,4000,,0,0,,0.285714285714286,0.7,0,0,5,2,0.3,7,5,8,
cbl,1024,5,20,104,ok,17.6359999999986,70,82000,4000,,0,0,,0.7,1,0,0,3,7,0,2,2,10,
cbl,1024,5,20,105,ok,19.9899999999998,94,82000,4000,,0,0,,0.666666666666667,0.9,0,0,3,6,0.1,0,0,9,
