"vial_rna","vial_rrbs"
"90217017005","90217017004"
"90218017005","90218017004"
"90222017005","90222017004"
"90223017005","90223017004"
"90225017005","90225017004"
"90227017005","90227017004"
"90229017005","90229017004"
"90232017005","90232017004"
"90237017005","90237017004"
"90239017005","90239017004"
"90245017005","90245017004"
"90248017005","90248017004"
"90251017005","90251017004"
"90252017005","90252017004"
"90254017005","90254017004"
"90258017005","90258017004"
"90259017005","90259017004"
"90265017005","90265017004"
"90266017005","90266017004"
"90267017005","90267017004"
"90280017005","90280017004"
"90281017005","90281017004"
"90283017005","90283017004"
"90289017005","90289017004"
"90292017005","90292017004"
"90406017005","90406017004"
"90410017005","90410017004"
"90412017005","90412017004"
"90416017005","90416017004"
"90420017005","90420017004"
"90421017005","90421017004"
"90422017005","90422017004"
"90423017005","90423017004"
"90426017005","90426017004"
"90430017005","90430017004"
"90439017005","90439017004"
"90441017005","90441017004"
"90444017005","90444017004"
"90449017005","90449017004"
"90450017005","90450017004"
"90559017005","90559017004"
"90560017005","90560017004"
"90564017005","90564017004"
"90567017005","90567017004"
"90571017005","90571017004"
"90576017005","90576017004"
"90578017005","90578017004"
"90581017005","90581017004"
"90585017005","90585017004"
"90587017005","90587017004"
