"vial_rna","vial_rrbs","SNAME"
"V10","90237017004","S001"
"V11","90239017004","S002"
"V12","90245017004","S003"
"V13","90248017004","S004"
"V14","90251017004","S005"
"V15","90252017004","S006"
"V16","90254017004","S007"
"V17","90258017004","S008"
"V18","90259017004","S009"
"V19","90265017004","S010"
"V2","90217017004","S011"
"V20","90266017004","S012"
"V21","90267017004","S013"
"V22","90280017004","S014"
"V23","90281017004","S015"
"V24","90283017004","S016"
"V25","90289017004","S017"
"V26","90292017004","S018"
"V27","90406017004","S019"
"V28","90410017004","S020"
"V29","90412017004","S021"
"V3","90218017004","S022"
"V30","90416017004","S023"
"V31","90420017004","S024"
"V32","90421017004","S025"
"V33","90422017004","S026"
"V34","90423017004","S027"
"V35","90426017004","S028"
"V36","90430017004","S029"
"V37","90439017004","S030"
"V38","90441017004","S031"
"V39","90444017004","S032"
"V4","90222017004","S033"
"V40","90449017004","S034"
"V41","90450017004","S035"
"V42","90559017004","S036"
"V43","90560017004","S037"
"V44","90564017004","S038"
"V45","90567017004","S039"
"V46","90571017004","S040"
"V47","90576017004","S041"
"V48","90578017004","S042"
"V49","90581017004","S043"
"V5","90223017004","S044"
"V50","90585017004","S045"
"V51","90587017004","S046"
"V6","90225017004","S047"
"V7","90227017004","S048"
"V8","90229017004","S049"
"V9","90232017004","S050"
