"n","rep","method","auprc_ratio","epr","dir_acc","f1","precision","recall","fisher_or","fisher_p","TP","FP","FN","TN","n_predicted","n_directed","n_true_pairs","prevalence","wall_clock_s","n_pruned","n_pairs_total","prune_pct"
256,1,"ASCEND-PC",1.75443929482889,1.24081632653061,0.666666666666667,0.285714285714286,0.857142857142857,0.171428571428571,30.9991258821554,0.000162877712904491,6,1,29,154,7,6,35,0.184210526315789,2.28100000001723,177,190,93.1578947368421
256,1,"Plain PC (X)",1.15221068599973,0.775510204081633,0.5,0.266666666666667,0.32,0.228571428571429,2.39182670142329,0.060055045200371,8,17,27,138,25,22,35,0.184210526315789,0.195000000006985,NA,NA,NA
256,1,"Plain PC (Z+X)",1.4410405297898,1.08571428571429,0.25,0.195121951219512,0.666666666666667,0.114285714285714,9.69159037472866,0.011218385238542,4,2,31,153,6,6,35,0.184210526315789,0.663000000000466,NA,NA,NA
256,2,"ASCEND-PC",1.62090148780511,1.43861546782044,0.833333333333333,0.244897959183673,1,0.13953488372093,Inf,0.000101043938098321,6,0,37,147,6,6,43,0.226315789473684,2.14500000001863,170,190,89.4736842105263
256,2,"Plain PC (X)",1.28056786357515,1.5413737155219,0.1875,0.444444444444444,0.551724137931034,0.372093023255814,6.02963412527367,3.00591047312309e-05,16,13,27,134,29,23,43,0.226315789473684,0.173000000009779,NA,NA,NA
256,2,"Plain PC (Z+X)",1.51429780753173,1.5413737155219,0,0.377358490566038,1,0.232558139534884,Inf,1.44391814752744e-07,10,0,33,147,10,10,43,0.226315789473684,0.457999999984168,NA,NA,NA
256,3,"ASCEND-PC",2.07902873826294,1.47777777777778,0.285714285714286,0.358974358974359,0.777777777777778,0.233333333333333,23.3350688695772,3.65936078438716e-05,7,2,23,158,9,4,30,0.157894736842105,1.53299999999581,175,190,92.1052631578947
256,3,"Plain PC (X)",1.29739566093938,1.47777777777778,0.272727272727273,0.407407407407407,0.458333333333333,0.366666666666667,6.44719984306711,0.000159754068770073,11,13,19,147,24,19,30,0.157894736842105,0.181999999971595,NA,NA,NA
256,3,"Plain PC (Z+X)",1.84980810283459,1.26666666666667,0,0.358974358974359,0.777777777777778,0.233333333333333,23.3350688695772,3.65936078438716e-05,7,2,23,158,9,5,30,0.157894736842105,0.539999999979045,NA,NA,NA
256,4,"ASCEND-PC",1.40219919847561,0.712203248646397,0.2,0.185185185185185,1,0.102040816326531,Inf,0.000974490737798437,5,0,44,141,5,4,49,0.257894736842105,1.83599999995204,176,190,92.6315789473684
256,4,"Plain PC (X)",1.05248362741637,0.633069554352353,0.363636363636364,0.293333333333333,0.423076923076923,0.224489795918367,2.4185173483495,0.0373186632825538,11,15,38,126,26,25,49,0.257894736842105,0.381999999983236,NA,NA,NA
256,4,"Plain PC (Z+X)",1.48469128012093,0.633069554352353,0.4,0.185185185185185,1,0.102040816326531,Inf,0.000974490737798437,5,0,44,141,5,5,49,0.257894736842105,0.731999999959953,NA,NA,NA
256,5,"ASCEND-PC",1.51129698919161,1.06776859504132,0.384615384615385,0.382352941176471,1,0.236363636363636,Inf,3.2699306970526e-08,13,0,42,135,13,13,55,0.289473684210526,3.5,147,190,77.3684210526316
256,5,"Plain PC (X)",1.35613099530303,1.19338842975207,0.266666666666667,0.384615384615385,0.652173913043478,0.272727272727273,5.88464505427649,0.000124648481136472,15,8,40,127,23,17,55,0.289473684210526,0.37400000001071,NA,NA,NA
256,5,"Plain PC (Z+X)",1.56971033918097,1.19338842975207,0.0833333333333333,0.358208955223881,1,0.218181818181818,Inf,1.35359921877991e-07,12,0,43,135,12,12,55,0.289473684210526,0.819000000017695,NA,NA,NA
256,6,"ASCEND-PC",1.30329996079235,0.904223676383105,0.375,0.32,0.888888888888889,0.195121951219512,35.0061386805854,1.98833765105862e-05,8,1,33,148,9,8,41,0.215789473684211,2.61099999997532,172,190,90.5263157894737
256,6,"Plain PC (X)",1.18447105548776,1.01725163593099,0.3,0.307692307692308,0.416666666666667,0.24390243902439,3.08775706184938,0.0144428046893427,10,14,31,135,24,20,41,0.215789473684211,0.398000000044703,NA,NA,NA
256,6,"Plain PC (Z+X)",1.43963637590756,0.904223676383105,0,0.36,1,0.219512195121951,Inf,4.77548344140718e-07,9,0,32,149,9,9,41,0.215789473684211,0.777999999991152,NA,NA,NA
256,7,"ASCEND-PC",2.10822449461709,1.46936347412255,0.8,0.535714285714286,1,0.365853658536585,Inf,9.63518408226504e-12,15,0,26,149,15,13,41,0.215789473684211,2.65999999997439,164,190,86.3157894736842
256,7,"Plain PC (X)",1.60980205486762,1.24330755502677,0.285714285714286,0.411764705882353,0.518518518518518,0.341463414634146,5.35950735335673,0.000159125519437926,14,13,27,136,27,17,41,0.215789473684211,0.176999999966938,NA,NA,NA
256,7,"Plain PC (Z+X)",1.42202173936814,0.678167757287329,0,0.313725490196078,0.8,0.195121951219512,17.4349350242715,8.33543725024965e-05,8,2,33,147,10,9,41,0.215789473684211,0.992000000027474,NA,NA,NA
256,8,"ASCEND-PC",2.21467151960218,1.39591836734694,0.3,0.444444444444444,1,0.285714285714286,Inf,1.38251088827467e-08,10,0,25,155,10,7,35,0.184210526315789,1.87699999997858,171,190,90
256,8,"Plain PC (X)",1.62987776738034,1.70612244897959,0.0833333333333333,0.413793103448276,0.521739130434783,0.342857142857143,6.72791866236882,8.32958069240449e-05,12,11,23,144,23,12,35,0.184210526315789,0.14100000000326,NA,NA,NA
256,8,"Plain PC (Z+X)",1.91333550449376,1.24081632653061,0,0.409090909090909,1,0.257142857142857,Inf,9.62440272221981e-08,9,0,26,155,9,9,35,0.184210526315789,0.402999999991152,NA,NA,NA
256,9,"ASCEND-PC",1.51478190429243,1.58168574401665,1,0.368421052631579,1,0.225806451612903,Inf,1.65805427244927e-06,7,0,24,159,7,7,31,0.163157894736842,1.85700000001816,171,190,90
256,9,"Plain PC (X)",2.13103376070971,2.37252861602497,0.0909090909090909,0.415094339622642,0.5,0.354838709677419,7.27888904358658,8.14723739410532e-05,11,11,20,148,22,15,31,0.163157894736842,0.222999999998137,NA,NA,NA
256,9,"Plain PC (Z+X)",2.70948437427097,2.57023933402706,0,0.476190476190476,0.909090909090909,0.32258064516129,72.3373955347683,3.28443150453209e-08,10,1,21,158,11,11,31,0.163157894736842,0.588000000047032,NA,NA,NA
256,10,"ASCEND-PC",1.24851460923785,0.697887970615243,0.5,0.216216216216216,1,0.121212121212121,Inf,0.000777914749326382,4,0,29,157,4,4,33,0.173684210526316,1.10999999998603,186,190,97.8947368421053
256,10,"Plain PC (X)",1.40382295881338,1.04683195592286,0.625,0.266666666666667,0.296296296296296,0.242424242424242,2.31196436923776,0.0669199843921905,8,19,25,138,27,24,33,0.173684210526316,0.217999999993481,NA,NA,NA
256,10,"Plain PC (Z+X)",1.84135434067495,1.22130394857668,0.166666666666667,0.307692307692308,1,0.181818181818182,Inf,1.83570699346999e-05,6,0,27,157,6,4,33,0.173684210526316,0.619000000006054,NA,NA,NA
1024,1,"ASCEND-PC",1.46048507788507,1.12960760998811,0.583333333333333,0.342857142857143,1,0.206896551724138,Inf,2.75142671242905e-07,12,0,46,132,12,11,58,0.305263157894737,8.86100000003353,135,190,71.0526315789474
1024,1,"Plain PC (X)",1.23356610108722,1.12960760998811,0.133333333333333,0.36144578313253,0.6,0.258620689655172,4.21740448197569,0.00102004388330067,15,10,43,122,25,23,58,0.305263157894737,1.42999999999302,NA,NA,NA
1024,1,"Plain PC (Z+X)",1.51285089337659,1.18608799048751,0,0.410958904109589,1,0.258620689655172,Inf,4.5193402008571e-09,15,0,43,132,15,15,58,0.305263157894737,1.94099999999162,NA,NA,NA
1024,2,"ASCEND-PC",1.38707776040834,1.444,0.7,0.333333333333333,1,0.2,Inf,7.73590976266814e-07,10,0,40,140,10,9,50,0.263157894736842,5.58499999996275,149,190,78.4210526315789
1024,2,"Plain PC (X)",1.36571037181206,1.596,0.222222222222222,0.272727272727273,0.5625,0.18,4.1326169031412,0.0078317781839161,9,7,41,133,16,11,50,0.263157894736842,0.949000000022352,NA,NA,NA
1024,2,"Plain PC (Z+X)",1.37995391892088,1.368,0.0833333333333333,0.380952380952381,0.923076923076923,0.24,42.9079288146347,3.90963455751859e-07,12,1,38,139,13,13,50,0.263157894736842,0.908000000054017,NA,NA,NA
1024,3,"ASCEND-PC",1.80490699392344,1.425,0.75,0.484848484848485,0.615384615384615,0.4,21.168899607005,3.29549710849587e-06,8,5,12,165,13,12,20,0.105263157894737,3.88099999999395,163,190,85.7894736842105
1024,3,"Plain PC (X)",1.58515806680402,2.375,0.428571428571429,0.274509803921569,0.225806451612903,0.35,3.24854749036665,0.0256995421475419,7,24,13,146,31,28,20,0.105263157894737,6.32299999997485,NA,NA,NA
1024,3,"Plain PC (Z+X)",3.0904202243152,2.375,0,0.5,0.875,0.35,85.6380081635405,3.6672996029136e-07,7,1,13,169,8,7,20,0.105263157894737,0.877000000036787,NA,NA,NA
1024,4,"ASCEND-PC",2.49889043676702,1.86122448979592,0.75,0.489795918367347,0.857142857142857,0.342857142857143,38.6029879540766,1.81618289202154e-08,12,2,23,153,14,13,35,0.184210526315789,5.63300000003073,159,190,83.6842105263158
1024,4,"Plain PC (X)",1.12403763477846,0.930612244897959,0.5,0.363636363636364,0.387096774193548,0.342857142857143,3.70121901706686,0.00293424611107933,12,19,23,136,31,29,35,0.184210526315789,1.30999999999767,NA,NA,NA
1024,4,"Plain PC (Z+X)",1.41307754257176,1.39591836734694,0.142857142857143,0.333333333333333,1,0.2,Inf,4.24008408817796e-06,7,0,28,155,7,7,35,0.184210526315789,1.51000000000931,NA,NA,NA
1024,5,"ASCEND-PC",1.96067555859293,1.2490869247626,0.5,0.425531914893617,1,0.27027027027027,Inf,2.62322578800834e-08,10,0,27,153,10,8,37,0.194736842105263,6.48999999999069,157,190,82.6315789473684
1024,5,"Plain PC (X)",1.25816378071614,0.971512052593134,0.25,0.363636363636364,0.413793103448276,0.324324324324324,3.80490268104642,0.00256427978983628,12,17,25,136,29,27,37,0.194736842105263,0.854000000050291,NA,NA,NA
1024,5,"Plain PC (Z+X)",1.96067555859293,1.2490869247626,0.0909090909090909,0.458333333333333,1,0.297297297297297,Inf,3.93483868201252e-09,11,0,26,153,11,10,37,0.194736842105263,1.41099999996368,NA,NA,NA
1024,6,"ASCEND-PC",1.45696590269838,1.04683195592286,0.625,0.380952380952381,0.888888888888889,0.242424242424242,48.3467117157111,3.02384175612063e-06,8,1,25,156,9,8,33,0.173684210526316,7.20899999997346,141,190,74.2105263157895
1024,6,"Plain PC (X)",2.19262348007991,1.91919191919192,0.142857142857143,0.491228070175439,0.583333333333333,0.424242424242424,10.6113174079865,9.65377489015856e-07,14,10,19,147,24,19,33,0.173684210526316,0.555999999982305,NA,NA,NA
1024,6,"Plain PC (Z+X)",2.63512998270428,1.74471992653811,0,0.521739130434783,0.923076923076923,0.363636363636364,85.6205103089737,1.26813791911171e-09,12,1,21,156,13,12,33,0.173684210526316,1.90400000003865,NA,NA,NA
1024,7,"ASCEND-PC",1.78317120020737,1.05263157894737,1,0.347826086956522,1,0.210526315789474,Inf,1.34800638281022e-06,8,0,30,152,8,8,38,0.2,7.67199999996228,96,190,50.5263157894737
1024,7,"Plain PC (X)",2.05634172365741,1.57894736842105,0.214285714285714,0.466666666666667,0.636363636363636,0.368421052631579,10.2987624380582,1.81928146968528e-06,14,8,24,144,22,18,38,0.2,0.402999999991152,NA,NA,NA
1024,7,"Plain PC (Z+X)",2.39780426800408,1.44736842105263,0,0.538461538461538,1,0.368421052631579,Inf,1.72336625861651e-11,14,0,24,152,14,12,38,0.2,1.23199999995995,NA,NA,NA
1024,8,"ASCEND-PC",1.60523370857351,1.78125,0.7,0.384615384615385,0.833333333333333,0.25,24.0585112625038,3.03126540576379e-06,10,2,30,148,12,12,40,0.210526315789474,6.10999999998603,141,190,74.2105263157895
1024,8,"Plain PC (X)",1.43349571914068,1.54375,0.2,0.476190476190476,0.652173913043478,0.375,10.4492662281454,9.28777400290316e-07,15,8,25,142,23,17,40,0.210526315789474,1.05299999995623,NA,NA,NA
1024,8,"Plain PC (Z+X)",2.16188037382664,1.6625,0,0.518518518518518,1,0.35,Inf,4.13607902067961e-11,14,0,26,150,14,14,40,0.210526315789474,3.32900000002701,NA,NA,NA
1024,9,"ASCEND-PC",3.22809480028654,2.62975778546713,0.625,0.615384615384615,0.888888888888889,0.470588235294118,140.234910079041,5.76577121607638e-09,8,1,9,172,9,7,17,0.0894736842105263,3.4539999999688,173,190,91.0526315789474
1024,9,"Plain PC (X)",1.52824680371021,2.62975778546713,0.25,0.32,0.242424242424242,0.470588235294118,5.19568552764501,0.00283823831193802,8,25,9,148,33,32,17,0.0894736842105263,2.45199999999022,NA,NA,NA
1024,9,"Plain PC (Z+X)",3.22809480028654,3.28719723183391,0,0.64,1,0.470588235294118,Inf,6.70096016172352e-10,8,0,9,173,8,8,17,0.0894736842105263,1.20199999999022,NA,NA,NA
1024,10,"ASCEND-PC",1.07686910298886,1.05316200554296,0.5,0.173913043478261,1,0.0952380952380952,Inf,0.0011261436595736,6,0,57,127,6,6,63,0.331578947368421,9.03800000000047,121,190,63.6842105263158
1024,10,"Plain PC (X)",1.25770062303141,1.19677500629882,0.0952380952380952,0.466666666666667,0.777777777777778,0.333333333333333,9.94072883446022,3.54443535502821e-07,21,6,42,121,27,25,63,0.331578947368421,0.449000000022352,NA,NA,NA
1024,10,"Plain PC (Z+X)",1.29721990179124,1.14890400604686,0,0.425,1,0.26984126984127,Inf,1.37445350107517e-09,17,0,46,127,17,17,63,0.331578947368421,1.76800000004005,NA,NA,NA
4096,1,"ASCEND-PC",1.24893993508678,1.08571428571429,0.307692307692308,0.292134831460674,0.684210526315789,0.185714285714286,4.29743243243988,0.00338242369496634,13,6,57,114,19,18,70,0.368421052631579,26.6959999999963,98,190,51.5789473684211
4096,1,"Plain PC (X)",1.16174656296703,1.00816326530612,0.388888888888889,0.349514563106796,0.545454545454545,0.257142857142857,2.41102959137507,0.0180671960876812,18,15,52,105,33,31,70,0.368421052631579,7.75299999996787,NA,NA,NA
4096,1,"Plain PC (Z+X)",1.24015452031766,1.08571428571429,0.230769230769231,0.313253012048193,1,0.185714285714286,Inf,1.06954113984806e-06,13,0,57,120,13,13,70,0.368421052631579,4.67800000001444,NA,NA,NA
4096,2,"ASCEND-PC",1.11282537513661,1.36455041654697,0.75,0.324324324324324,0.8,0.203389830508475,10.7370191673633,6.77674118026211e-05,12,3,47,128,15,15,59,0.310526315789474,25.6289999999572,133,190,70
4096,2,"Plain PC (X)",1.03379703427822,1.20080436656133,0,0.25,0.379310344827586,0.186440677966102,1.43580727046826,0.253964094344173,11,18,48,113,29,29,59,0.310526315789474,11.8649999999907,NA,NA,NA
