"n","metric","comparison","n_pairs","ascend_mean","ascend_sd","baseline_mean","baseline_sd","diff_mean","diff_sd","wins","ties","losses","wilcox_p","cliffs_d","cliffs_lab","wilcox_p_holm"
256,"auprc_ratio","ASCEND-PC vs Plain PC (X)",10,1.676,0.349,1.41,0.314,0.266,0.413,8,0,2,0.0631,0.46,"medium",0.757
256,"auprc_ratio","ASCEND-PC vs Plain PC (Z+X)",10,1.676,0.349,1.719,0.396,-0.043,0.528,5,0,5,0.419,-0.04,"negligible",1
256,"dir_acc","ASCEND-PC vs Plain PC (X)",10,0.535,0.273,0.298,0.168,0.237,0.347,8,0,2,0.0333,0.59,"large",0.433
256,"dir_acc","ASCEND-PC vs Plain PC (Z+X)",10,0.535,0.273,0.09,0.14,0.445,0.347,9,0,1,0.00402,0.88,"large",0.0724
256,"f1","ASCEND-PC vs Plain PC (X)",10,0.334,0.107,0.361,0.069,-0.027,0.087,4,0,6,0.846,-0.25,"small",1
256,"f1","ASCEND-PC vs Plain PC (Z+X)",10,0.334,0.107,0.334,0.09,0,0.105,4,2,4,0.688,0,"negligible",1
1024,"auprc_ratio","ASCEND-PC vs Plain PC (X)",10,1.826,0.625,1.504,0.357,0.323,0.746,7,0,3,0.154,0.38,"medium",1
1024,"auprc_ratio","ASCEND-PC vs Plain PC (Z+X)",10,1.826,0.625,2.108,0.717,-0.281,0.68,2,2,6,0.946,-0.18,"small",1
1024,"dir_acc","ASCEND-PC vs Plain PC (X)",10,0.673,0.146,0.244,0.128,0.43,0.155,10,0,0,0.00294,0.98,"large",0.0706
1024,"dir_acc","ASCEND-PC vs Plain PC (Z+X)",10,0.673,0.146,0.032,0.053,0.642,0.158,10,0,0,0.00294,1,"large",0.0706
1024,"f1","ASCEND-PC vs Plain PC (X)",10,0.398,0.118,0.386,0.084,0.012,0.175,5,0,5,0.419,0.1,"negligible",1
1024,"f1","ASCEND-PC vs Plain PC (Z+X)",10,0.398,0.118,0.473,0.089,-0.075,0.113,1,0,9,0.979,-0.42,"medium",1
4096,"auprc_ratio","ASCEND-PC vs Plain PC (X)",10,1.749,0.623,1.386,0.241,0.363,0.578,7,0,3,0.0207,0.38,"medium",0.29
4096,"auprc_ratio","ASCEND-PC vs Plain PC (Z+X)",10,1.749,0.623,1.902,0.51,-0.153,0.483,3,0,7,0.923,-0.22,"small",1
4096,"dir_acc","ASCEND-PC vs Plain PC (X)",10,0.607,0.213,0.163,0.173,0.444,0.258,9,0,1,0.00402,0.88,"large",0.0724
4096,"dir_acc","ASCEND-PC vs Plain PC (Z+X)",10,0.607,0.213,0.062,0.09,0.545,0.241,10,0,0,0.00296,1,"large",0.0706
4096,"f1","ASCEND-PC vs Plain PC (X)",10,0.448,0.111,0.347,0.048,0.101,0.094,9,0,1,0.00541,0.56,"large",0.0866
4096,"f1","ASCEND-PC vs Plain PC (Z+X)",10,0.448,0.111,0.438,0.112,0.01,0.083,6,0,4,0.238,0.04,"negligible",1
16384,"auprc_ratio","ASCEND-PC vs Plain PC (X)",10,1.865,0.462,1.239,0.322,0.627,0.425,10,0,0,0.00296,0.74,"large",0.0706
16384,"auprc_ratio","ASCEND-PC vs Plain PC (Z+X)",10,1.865,0.462,1.973,0.726,-0.107,0.79,6,0,4,0.581,0.1,"negligible",1
16384,"dir_acc","ASCEND-PC vs Plain PC (X)",10,0.753,0.204,0.222,0.176,0.53,0.188,10,0,0,0.00296,0.92,"large",0.0706
16384,"dir_acc","ASCEND-PC vs Plain PC (Z+X)",10,0.753,0.204,0.009,0.029,0.744,0.199,10,0,0,0.00296,1,"large",0.0706
16384,"f1","ASCEND-PC vs Plain PC (X)",10,0.423,0.125,0.278,0.113,0.145,0.126,9,0,1,0.00541,0.62,"large",0.0866
16384,"f1","ASCEND-PC vs Plain PC (Z+X)",10,0.423,0.125,0.478,0.132,-0.055,0.167,3,0,7,0.889,-0.28,"small",1
